"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","1.14n","~","Capacitor_THT:C_Disc_D10.5mm_W5.0mm_P5.00mm","1",""
"C2","0.01u","~","Capacitor_THT:C_Disc_D11.0mm_W5.0mm_P7.50mm","1",""
"C3","10u","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1",""
"C4","100u","~","Capacitor_Tantalum_SMD:CP_EIA-7132-28_AVX-C_Pad2.72x3.50mm_HandSolder","1",""
"C5","0.1u","~","Capacitor_Tantalum_SMD:CP_EIA-3528-12_Kemet-T_Pad1.50x2.35mm_HandSolder","1",""
"C6,L1","30u","~","-- mixed values --","2",""
"D2","Diode","https://diotec.com/de/produktliste/D.html","Diode_THT:D_DO-201_P3.81mm_Vertical_AnodeUp","1",""
"J1,J2","Screw_Terminal_01x02","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","2",""
"Q1","IRF540N","http://www.irf.com/product-info/datasheets/data/irf540n.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"R1,R4","10k","~","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P7.62mm_Vertical","2",""
"R2","2626.26","~","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P7.62mm_Vertical","1",""
"R3","330","~","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P7.62mm_Vertical","1",""
"U1","NE555D","http://www.ti.com/lit/ds/symlink/ne555.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U2","LM7805_TO220","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
